Date,Price,Open,High,Low,Vol.,Change %
1/15/2020,"14,845.00","14,845.00","14,874.00","14,758.00",121.91K,0.00%
1/14/2020,"14,845.00","14,787.00","14,874.00","14,729.00",183.51K,0.00%
1/13/2020,"14,845.00","14,816.00","14,874.00","14,787.00",154.44K,0.00%
1/10/2020,"14,845.00","14,816.00","14,874.00","14,613.10",478.90K,0.00%
1/9/2020,"14,845.00","14,816.00","15,019.00","14,555.10",417.70K,0.39%
1/8/2020,"14,787.00","15,077.00","15,221.90","14,613.10",698.03K,-3.04%
1/7/2020,"15,250.90","15,308.90","15,366.90","15,135.00",217.38K,-0.75%
1/6/2020,"15,366.90","15,279.90","15,366.90","15,077.00",540.56K,0.38%
1/3/2020,"15,308.90","15,366.90","15,424.90","15,192.90",598.58K,-0.38%
1/2/2020,"15,366.90","15,424.90","15,453.90","15,250.90",580.06K,-1.49%
12/31/2019,"15,598.90","15,656.90","15,656.90","15,511.90",1.18M,-0.37%
12/30/2019,"15,656.90","15,598.90","15,656.90","15,540.90",599.61K,0.37%
12/27/2019,"15,598.90","15,569.90","15,598.90","15,511.90",264.21K,0.19%
12/26/2019,"15,569.90","15,569.90","15,656.90","15,453.90",651.34K,0.00%
12/25/2019,"15,569.90","15,569.90","15,627.90","15,511.90",305.28K,0.00%
12/24/2019,"15,569.90","15,424.90","15,598.90","15,424.90",448.28K,0.94%
12/23/2019,"15,424.90","15,453.90","15,482.90","15,424.90",223.10K,0.00%
12/20/2019,"15,424.90","15,279.90","15,453.90","15,250.90",278.41K,1.14%
12/19/2019,"15,250.90","15,221.90","15,366.90","15,135.00",241.45K,0.19%
12/18/2019,"15,221.90","15,424.90","15,424.90","15,164.00",497.37K,-1.32%
12/17/2019,"15,424.90","15,830.80","15,830.80","15,366.90",420.85K,-1.85%
12/16/2019,"15,714.80","15,714.80","15,830.80","15,656.90",534.76K,0.00%
12/13/2019,"15,714.80","15,656.90","15,830.80","15,627.90",873.44K,0.37%
12/12/2019,"15,656.90","15,511.90","15,714.80","15,511.90",492.12K,0.93%
12/11/2019,"15,511.90","15,540.90","15,540.90","15,482.90",364.22K,-0.19%
12/10/2019,"15,540.90","15,540.90","15,598.90","15,453.90",458.88K,-0.19%
12/9/2019,"15,569.90","15,627.90","15,656.90","15,482.90",491.63K,-0.74%
12/6/2019,"15,685.80","15,656.90","15,714.80","15,598.90",427.05K,0.19%
12/5/2019,"15,656.90","15,540.90","15,714.80","15,511.90",836.88K,0.93%
